"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2025","734.58","752.08","752.09","734.33","2.57M","-1.39%"
"07/17/2025","744.91","746.82","756.85","742.00","4.08M","-1.26%"
"07/16/2025","754.45","754.36","760.90","730.60","10.79M","-8.33%"
"07/15/2025","823.02","822.97","826.56","814.21","2.10M","2.02%"
"07/14/2025","806.73","797.62","812.77","789.86","1.46M","0.60%"
"07/11/2025","801.93","797.07","803.19","796.52","932.67K","-0.02%"
"07/10/2025","802.09","808.93","811.10","798.00","1.50M","0.28%"
"07/09/2025","799.83","792.91","800.90","792.47","1.33M","0.72%"
"07/08/2025","794.10","782.66","798.39","778.73","1.33M","1.15%"
"07/07/2025","785.09","785.46","793.49","783.80","1.36M","-1.18%"
"07/03/2025","794.50","786.97","798.53","786.61","910.72K","-0.64%"
"07/02/2025","799.59","776.24","800.50","772.86","1.38M","1.15%"
"07/01/2025","790.47","788.05","795.50","782.53","1.07M","-1.36%"
"06/30/2025","801.39","796.48","802.44","794.04","1.08M","0.68%"
"06/27/2025","795.95","802.94","805.49","788.45","1.20M","-0.27%"
"06/26/2025","798.09","799.76","800.88","786.49","1.71M","-2.10%"
"06/25/2025","815.24","816.74","819.54","806.22","1.40M","0.23%"
"06/24/2025","813.36","786.11","813.46","786.11","2.04M","4.31%"
"06/23/2025","779.72","761.26","780.75","759.80","1.30M","3.07%"
"06/20/2025","756.53","768.36","769.01","736.25","2.30M","-0.67%"
"06/18/2025","761.64","764.73","768.00","754.24","1.37M","0.23%"
"06/17/2025","759.86","766.78","773.21","758.21","1.42M","-1.98%"
"06/16/2025","775.23","766.37","779.19","765.97","1.45M","1.87%"
"06/13/2025","761.00","766.89","772.93","759.87","1.74M","-3.21%"
"06/12/2025","786.21","785.44","789.57","782.34","999.57K","0.27%"
"06/11/2025","784.09","790.05","797.25","780.69","1.37M","-0.11%"
"06/10/2025","784.97","779.11","788.29","776.49","1.72M","1.92%"
"06/09/2025","770.20","757.06","782.20","757.06","1.77M","2.28%"
"06/06/2025","753.02","756.05","762.10","752.80","1.35M","0.70%"
"06/05/2025","747.76","754.13","756.46","744.00","1.51M","0.67%"
"06/04/2025","742.78","751.18","752.77","740.41","1.16M","-0.60%"
"06/03/2025","747.25","732.66","748.55","732.20","1.09M","0.10%"
"06/02/2025","746.53","733.29","746.95","732.66","812.60K","1.32%"
"05/30/2025","736.77","745.01","745.96","723.00","1.79M","-1.38%"
"05/29/2025","747.07","757.83","759.55","744.84","1.17M","0.07%"
"05/28/2025","746.51","752.14","756.39","744.81","1.24M","-1.36%"
"05/27/2025","756.79","751.36","761.21","749.95","1.39M","3.32%"
"05/23/2025","732.49","724.60","735.99","722.52","1.53M","-1.11%"
"05/22/2025","740.70","736.32","747.21","734.15","863.93K","0.48%"
