"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2025","1,835.500","1,841.000","1,864.500","1,834.500","207.21K","-0.30%"
"07/17/2025","1,841.000","1,821.000","1,851.000","1,821.000","181.55K","1.32%"
"07/16/2025","1,817.000","1,843.500","1,844.000","1,804.000","154.50K","-0.60%"
"07/15/2025","1,828.000","1,888.000","1,888.500","1,827.000","259.47K","-2.77%"
"07/14/2025","1,880.000","1,831.000","1,880.000","1,825.000","221.58K","2.17%"
"07/11/2025","1,840.000","1,838.000","1,871.500","1,795.000","260.80K","-0.30%"
"07/10/2025","1,845.500","1,853.000","1,864.000","1,826.000","278.90K","-0.81%"
"07/09/2025","1,860.500","1,830.500","1,871.000","1,825.000","305.49K","1.67%"
"07/08/2025","1,830.000","1,806.000","1,842.500","1,804.000","257.94K","1.50%"
"07/07/2025","1,803.000","1,760.000","1,803.000","1,743.000","238.64K","2.74%"
"07/04/2025","1,755.000","1,705.000","1,761.000","1,704.000","247.40K","3.33%"
"07/03/2025","1,698.500","1,722.500","1,738.500","1,679.500","194.20K","-1.79%"
"07/02/2025","1,729.500","1,704.500","1,735.000","1,664.500","264.12K","1.59%"
"07/01/2025","1,702.500","1,795.000","1,795.000","1,702.500","261.33K","-5.26%"
"06/30/2025","1,797.000","1,780.000","1,797.000","1,760.000","201.35K","2.63%"
"06/27/2025","1,751.000","1,855.500","1,859.000","1,751.000","365.20K","-6.09%"
"06/26/2025","1,864.500","1,739.000","1,864.500","1,737.500","454.46K","7.28%"
"06/25/2025","1,738.000","1,693.500","1,738.000","1,691.500","234.53K","3.08%"
"06/24/2025","1,686.000","1,705.000","1,737.500","1,649.000","377.36K","-3.10%"
"06/23/2025","1,740.000","1,766.500","1,774.500","1,653.000","392.08K","-1.00%"
"06/20/2025","1,757.500","1,725.000","1,757.500","1,718.000","1.36M","2.12%"
"06/19/2025","1,721.000","1,741.000","1,773.000","1,704.500","177.23K","-1.15%"
"06/18/2025","1,741.000","1,727.000","1,758.000","1,725.000","144.94K","0.72%"
"06/17/2025","1,728.500","1,742.000","1,757.000","1,690.000","225.85K","-1.79%"
"06/16/2025","1,760.000","1,809.500","1,829.000","1,744.500","247.16K","-1.98%"
"06/13/2025","1,795.500","1,767.500","1,805.000","1,732.500","278.82K","2.72%"
"06/12/2025","1,748.000","1,757.000","1,760.000","1,683.500","248.40K","1.63%"
"06/11/2025","1,720.000","1,680.000","1,732.500","1,674.000","351.41K","2.90%"
"06/10/2025","1,671.500","1,737.000","1,747.500","1,655.000","498.34K","-5.80%"
"06/09/2025","1,774.500","1,777.000","1,786.500","1,745.500","214.43K","-0.76%"
"06/06/2025","1,788.000","1,898.000","1,898.000","1,783.000","357.41K","-4.99%"
"06/05/2025","1,882.000","1,820.000","1,916.500","1,815.000","307.46K","2.67%"
"06/04/2025","1,833.000","1,850.000","1,850.000","1,790.500","248.58K","-0.11%"
"06/03/2025","1,835.000","1,843.000","1,872.500","1,802.500","270.24K","0.88%"
"06/02/2025","1,819.000","1,920.000","1,944.000","1,744.500","638.68K","-3.50%"
"05/30/2025","1,885.000","1,875.000","1,922.500","1,867.000","443.08K","0.35%"
"05/29/2025","1,878.500","1,902.000","1,916.500","1,816.500","272.05K","-1.03%"
"05/28/2025","1,898.000","1,929.000","1,936.000","1,881.000","319.57K","0.48%"
"05/27/2025","1,889.000","1,863.000","1,892.000","1,862.000","266.32K","2.55%"
"05/26/2025","1,842.000","1,802.000","1,842.000","1,801.000","219.76K","3.28%"
"05/23/2025","1,783.500","1,770.000","1,789.000","1,716.000","259.83K","0.76%"
"05/22/2025","1,770.000","1,796.000","1,801.500","1,758.000","190.65K","-1.39%"
"05/21/2025","1,795.000","1,780.500","1,804.000","1,776.000","215.71K","0.84%"
"05/20/2025","1,780.000","1,773.000","1,796.000","1,714.000","352.02K","1.57%"
"05/19/2025","1,752.500","1,725.000","1,753.000","1,706.000","216.76K","1.71%"
"05/16/2025","1,723.000","1,686.000","1,725.000","1,668.500","292.48K","2.44%"
"05/15/2025","1,682.000","1,615.000","1,696.500","1,601.500","321.56K","5.65%"
"05/14/2025","1,592.000","1,628.500","1,656.500","1,558.000","279.15K","-1.03%"
"05/13/2025","1,608.500","1,616.000","1,630.500","1,584.500","220.26K","0.91%"
"05/12/2025","1,594.000","1,664.000","1,674.500","1,558.000","544.35K","-5.90%"
"05/09/2025","1,694.000","1,742.000","1,744.000","1,673.500","353.82K","-0.41%"
"05/08/2025","1,701.000","1,650.000","1,711.500","1,635.000","344.77K","4.13%"
"05/07/2025","1,633.500","1,668.000","1,672.000","1,615.000","313.92K","-0.70%"
"05/06/2025","1,645.000","1,653.000","1,666.000","1,544.500","473.31K","1.11%"
"05/05/2025","1,627.000","1,591.500","1,638.500","1,589.000","351.41K","3.24%"
