"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2025","224.20","228.00","228.75","223.00","1.02M","-0.80%"
"07/17/2025","226.00","222.05","226.55","221.50","1.36M","4.08%"
"07/16/2025","217.15","216.95","218.95","215.40","982.37K","-0.53%"
"07/15/2025","218.30","221.45","223.15","218.10","874.73K","-0.91%"
"07/14/2025","220.30","220.35","221.10","218.70","647.67K","-1.23%"
"07/11/2025","223.05","225.05","225.20","221.95","773.04K","-1.65%"
"07/10/2025","226.80","226.60","227.90","225.40","950.43K","0.58%"
"07/09/2025","225.50","218.00","227.65","217.60","1.73M","3.89%"
"07/08/2025","217.05","219.30","219.45","216.55","999.42K","-0.60%"
"07/07/2025","218.35","217.10","218.50","215.15","773.15K","1.09%"
"07/04/2025","216.00","218.85","220.10","216.00","861.84K","-2.39%"
"07/03/2025","221.30","222.75","226.00","220.35","987.18K","0.82%"
"07/02/2025","219.50","217.40","219.50","216.75","854.97K","1.79%"
"07/01/2025","215.65","217.35","218.30","213.75","927.14K","-0.92%"
"06/30/2025","217.65","224.45","224.50","217.65","1.21M","-2.29%"
"06/27/2025","222.75","216.40","223.00","215.75","1.44M","3.68%"
"06/26/2025","214.85","214.20","216.10","212.80","790.83K","0.59%"
"06/25/2025","213.60","215.80","216.25","212.70","904.96K","-0.42%"
"06/24/2025","214.50","214.75","216.75","213.40","1.46M","2.73%"
"06/23/2025","208.80","208.40","210.80","206.70","911.70K","-0.24%"
"06/20/2025","209.30","209.95","212.60","209.30","3.17M","0.67%"
"06/19/2025","207.90","208.85","210.25","207.65","933.29K","-1.49%"
"06/18/2025","211.05","213.15","213.85","210.65","965.95K","-1.38%"
"06/17/2025","214.00","214.20","215.50","212.20","970.22K","-0.93%"
"06/16/2025","216.00","216.05","217.00","214.75","1.10M","0.49%"
"06/13/2025","214.95","212.75","214.95","211.85","1.22M","-1.10%"
"06/12/2025","217.35","216.70","219.40","215.05","930.44K","-1.07%"
"06/11/2025","219.70","219.65","221.50","217.35","1.21M","0.30%"
"06/10/2025","219.05","219.40","220.30","217.20","881.85K","-0.11%"
"06/09/2025","219.30","218.50","220.10","217.50","638.39K","0.23%"
"06/06/2025","218.80","219.20","219.60","216.90","616.15K","-0.21%"
"06/05/2025","219.25","218.15","219.85","216.25","790.21K","0.55%"
"06/04/2025","218.05","218.30","219.00","216.35","1.08M","1.87%"
"06/03/2025","214.05","213.20","214.10","209.90","973.37K","0.19%"
"06/02/2025","213.65","210.65","214.75","209.60","975.90K","0.87%"
"05/30/2025","211.80","213.60","216.45","211.80","2.86M","-0.38%"
"05/29/2025","212.60","218.50","218.55","212.50","926.74K","-2.25%"
"05/28/2025","217.50","221.85","222.30","217.50","1.04M","-1.58%"
"05/27/2025","221.00","218.75","222.80","217.95","1.12M","1.07%"
"05/26/2025","218.65","217.00","219.15","216.55","793.68K","2.99%"
"05/23/2025","212.30","217.20","220.00","208.40","1.80M","-2.21%"
"05/22/2025","217.10","218.90","220.00","216.65","1.01M","-1.76%"
"05/21/2025","221.00","221.20","221.95","217.35","971.85K","-0.56%"
"05/20/2025","222.25","223.35","224.15","221.35","1.17M","0.20%"
"05/19/2025","221.80","219.00","222.15","218.75","1.00M","0.84%"
"05/16/2025","219.95","223.85","224.10","218.10","1.26M","-0.86%"
"05/15/2025","221.85","219.50","222.05","214.20","1.79M","-0.98%"
"05/14/2025","224.05","224.45","225.50","220.75","1.25M","-0.49%"
"05/13/2025","225.15","223.30","225.15","221.75","1.03M","1.53%"
"05/12/2025","221.75","219.20","226.95","219.05","1.64M","3.60%"
"05/09/2025","214.05","213.85","215.55","213.75","956.70K","0.40%"
"05/08/2025","213.20","210.45","214.95","210.35","1.15M","1.94%"
"05/07/2025","209.15","208.70","212.75","208.45","1.28M","0.10%"
"05/06/2025","208.95","212.00","212.20","204.05","1.08M","-1.09%"
"05/05/2025","211.25","208.55","211.70","208.10","609.41K","0.69%"
"05/02/2025","209.80","206.70","210.00","204.95","1.69M","3.89%"
"04/30/2025","201.95","202.75","204.90","198.96","1.95M","-0.15%"
"04/29/2025","202.25","205.00","205.80","200.95","1.18M","-1.37%"
"04/28/2025","205.05","206.80","207.95","204.80","1.03M","-0.85%"
"04/25/2025","206.80","202.50","207.10","202.00","1.65M","3.07%"
"04/24/2025","200.65","195.90","200.65","193.24","1.41M","2.11%"
"04/23/2025","196.50","191.72","199.00","191.06","2.07M","3.79%"
"04/22/2025","189.32","187.36","189.32","184.40","1.22M","1.23%"
"04/17/2025","187.02","190.10","191.50","186.06","1.53M","0.47%"
"04/16/2025","186.14","183.00","186.46","180.96","1.53M","0.45%"
"04/15/2025","185.30","185.46","188.48","183.22","1.71M","-0.22%"
"04/14/2025","185.70","185.86","187.62","183.44","1.57M","2.78%"
"04/11/2025","180.68","188.12","188.96","177.46","2.92M","-3.35%"
"04/10/2025","186.94","198.52","199.96","186.56","3.03M","5.52%"
"04/09/2025","177.16","176.12","180.78","174.06","2.81M","-3.05%"
"04/08/2025","182.74","180.10","185.90","179.60","3.15M","3.48%"
"04/07/2025","176.60","167.06","190.80","162.38","5.25M","-4.86%"
"04/04/2025","185.62","194.22","194.84","180.10","4.11M","-6.01%"
"04/03/2025","197.48","204.95","208.45","195.74","2.75M","-8.04%"
"04/02/2025","214.75","213.30","214.90","210.70","994.29K","0.00%"
"04/01/2025","214.75","214.35","216.35","211.70","1.28M","1.34%"
"03/31/2025","211.90","214.95","215.55","208.00","1.72M","-1.90%"
"03/28/2025","216.00","219.25","219.80","214.75","1.69M","-2.51%"
"03/27/2025","221.55","223.45","225.70","220.15","1.45M","-1.31%"
"03/26/2025","224.50","230.60","231.20","223.20","1.16M","-1.92%"
"03/25/2025","228.90","225.05","230.10","222.95","1.19M","1.58%"
"03/24/2025","225.35","229.80","230.15","224.70","1.55M","-1.53%"
"03/21/2025","228.85","232.25","233.30","227.15","3.63M","-2.39%"
"03/20/2025","234.45","236.25","239.60","233.80","1.46M","-0.95%"
"03/19/2025","236.70","231.00","240.70","230.35","1.52M","-0.13%"
"03/18/2025","237.00","236.55","241.90","235.50","1.60M","1.15%"
"03/17/2025","234.30","232.30","234.30","229.70","1.56M","1.10%"
"03/14/2025","231.75","224.80","233.55","224.20","2.02M","2.32%"
"03/13/2025","226.50","226.20","227.95","223.40","1.71M","-0.15%"
"03/12/2025","226.85","227.30","231.50","226.15","2.00M","1.64%"
"03/11/2025","223.20","231.90","232.25","223.20","2.17M","-2.28%"
"03/10/2025","228.40","235.15","236.30","222.55","2.25M","-2.52%"
"03/07/2025","234.30","238.55","240.85","232.55","2.29M","-3.58%"
"03/06/2025","243.00","233.85","244.85","232.50","3.24M","4.94%"
"03/05/2025","231.55","230.00","232.70","223.10","2.53M","8.56%"
"03/04/2025","213.30","219.70","220.75","213.15","1.85M","-5.60%"
"03/03/2025","225.95","221.50","227.95","219.40","1.96M","2.15%"
"02/28/2025","221.20","217.65","221.25","217.30","2.05M","0.27%"
"02/27/2025","220.60","221.65","222.40","218.05","1.25M","-1.28%"
"02/26/2025","223.45","221.00","224.40","220.25","1.37M","3.16%"
"02/25/2025","216.60","215.50","218.50","215.10","1.20M","-0.69%"
"02/24/2025","218.10","225.50","225.50","216.70","1.28M","-1.51%"
"02/21/2025","221.45","222.15","223.45","220.40","1.17M","0.09%"
"02/20/2025","221.25","222.20","224.10","220.70","999.66K","0.41%"
"02/19/2025","220.35","225.85","228.30","220.35","1.49M","-2.59%"
"02/18/2025","226.20","227.00","227.90","225.15","1.20M","-0.35%"
"02/17/2025","227.00","224.20","227.00","224.20","1.11M","0.80%"
"02/14/2025","225.20","227.15","227.15","222.50","2.64M","-0.99%"
"02/13/2025","227.45","226.95","228.10","220.95","3.41M","7.26%"
"02/12/2025","212.05","213.45","214.50","209.95","1.99M","-1.33%"
"02/11/2025","214.90","210.75","214.90","210.25","1.87M","1.78%"
"02/10/2025","211.15","207.55","212.20","206.55","1.94M","1.78%"
"02/07/2025","207.45","208.20","209.25","206.40","1.24M","-0.29%"
"02/06/2025","208.05","202.90","208.50","201.70","1.65M","3.38%"
"02/05/2025","201.25","200.00","201.25","199.20","1.01M","-0.30%"
"02/04/2025","201.85","202.15","203.70","200.00","836.89K","-0.12%"
"02/03/2025","202.10","201.25","202.80","199.60","1.50M","-2.58%"
"01/31/2025","207.45","206.00","207.70","204.55","1.15M","1.12%"
"01/30/2025","205.15","204.85","207.75","203.90","900.92K","0.89%"
"01/29/2025","203.35","201.80","204.25","201.35","1.05M","1.65%"
"01/28/2025","200.05","201.65","201.90","197.82","1.20M","-0.67%"
"01/27/2025","201.40","201.20","203.05","197.26","1.97M","-3.38%"
"01/24/2025","208.45","209.25","210.05","208.00","1.39M","-0.26%"
"01/23/2025","209.00","208.05","209.40","207.05","1.07M","0.89%"
"01/22/2025","207.15","205.25","208.25","205.10","1.24M","1.47%"
"01/21/2025","204.15","201.35","204.60","201.35","807.21K","1.16%"
"01/20/2025","201.80","201.00","202.80","200.85","970.80K","0.47%"
"01/17/2025","200.85","196.80","200.90","196.64","2.01M","2.92%"
"01/16/2025","195.16","197.16","197.18","194.08","1.23M","-0.21%"
"01/15/2025","195.58","193.94","197.20","192.94","1.23M","0.84%"
"01/14/2025","193.96","194.60","195.96","193.80","770.07K","0.40%"
"01/13/2025","193.18","193.38","193.98","190.92","1.06M","-0.68%"
"01/10/2025","194.50","196.00","197.10","193.90","902.26K","-1.07%"
"01/09/2025","196.60","194.80","196.92","193.62","809.58K","0.49%"
"01/08/2025","195.64","193.22","195.78","193.00","1.27M","1.09%"
"01/07/2025","193.54","193.42","194.72","192.42","1.22M","0.24%"
